date,state,fips,cases,deaths
2/9/2021,Alabama,1,474666,8579
2/10/2021,Alabama,1,476067,8888
2/11/2021,Alabama,1,477570,9021
2/12/2021,Alabama,1,478667,9180
2/13/2021,Alabama,1,479856,9242
2/14/2021,Alabama,1,480931,9242
2/15/2021,Alabama,1,481605,9244
2/16/2021,Alabama,1,482488,9257
2/17/2021,Alabama,1,483167,9346
2/18/2021,Alabama,1,484365,9424
2/19/2021,Alabama,1,485212,9573
2/20/2021,Alabama,1,485986,9590
2/21/2021,Alabama,1,486843,9592
2/22/2021,Alabama,1,487520,9592
2/23/2021,Alabama,1,488973,9660
2/24/2021,Alabama,1,490220,9744
2/25/2021,Alabama,1,491110,9831
2/26/2021,Alabama,1,491849,9869
2/27/2021,Alabama,1,492683,9930
2/28/2021,Alabama,1,493252,9929
3/1/2021,Alabama,1,493769,9931
3/2/2021,Alabama,1,494421,9991
3/3/2021,Alabama,1,497154,10029
3/4/2021,Alabama,1,498076,10094
3/5/2021,Alabama,1,498887,10122
3/6/2021,Alabama,1,499411,10149
3/7/2021,Alabama,1,499819,10148
3/8/2021,Alabama,1,500092,10148
3/9/2021,Alabama,1,500616,10186
3/10/2021,Alabama,1,501398,10222
3/11/2021,Alabama,1,502263,10274
3/12/2021,Alabama,1,502711,10299
3/13/2021,Alabama,1,503305,10327
3/14/2021,Alabama,1,503673,10327
3/15/2021,Alabama,1,508229,10329
3/16/2021,Alabama,1,508717,10337
3/17/2021,Alabama,1,509476,10363
3/18/2021,Alabama,1,510048,10391
3/19/2021,Alabama,1,510579,10425
3/20/2021,Alabama,1,511087,10436
3/21/2021,Alabama,1,511460,10436
3/22/2021,Alabama,1,511779,10436
3/23/2021,Alabama,1,511789,10450
3/24/2021,Alabama,1,512711,10487
3/25/2021,Alabama,1,513138,10504
3/26/2021,Alabama,1,513580,10523
3/27/2021,Alabama,1,514072,10526
3/28/2021,Alabama,1,514391,10526
3/29/2021,Alabama,1,514619,10526
3/30/2021,Alabama,1,514980,10527
3/31/2021,Alabama,1,515388,10554
4/1/2021,Alabama,1,515866,10553
4/2/2021,Alabama,1,516266,10607
4/3/2021,Alabama,1,516615,10637
4/4/2021,Alabama,1,516809,10637
4/5/2021,Alabama,1,516918,10638
4/6/2021,Alabama,1,517114,10652
4/7/2021,Alabama,1,517452,10652
4/8/2021,Alabama,1,517916,10675
4/9/2021,Alabama,1,518234,10686
4/10/2021,Alabama,1,518588,10712
4/11/2021,Alabama,1,518899,10712
4/12/2021,Alabama,1,519071,10712
4/13/2021,Alabama,1,520503,10722
4/14/2021,Alabama,1,520780,10728
4/15/2021,Alabama,1,521201,10736
4/16/2021,Alabama,1,521623,10739
4/17/2021,Alabama,1,522131,10790
4/18/2021,Alabama,1,522401,10790
4/19/2021,Alabama,1,522512,10790
4/20/2021,Alabama,1,523955,10798
4/21/2021,Alabama,1,524367,10807
4/22/2021,Alabama,1,525049,10824
4/23/2021,Alabama,1,525477,10840
4/24/2021,Alabama,1,525898,10851
4/25/2021,Alabama,1,526131,10851
4/26/2021,Alabama,1,526348,10852
4/27/2021,Alabama,1,526707,10854
4/28/2021,Alabama,1,527083,10879
4/29/2021,Alabama,1,527513,10887
3/12/2020,Alaska,2,1,0
3/13/2020,Alaska,2,1,0
3/14/2020,Alaska,2,1,0
3/15/2020,Alaska,2,1,0
3/16/2020,Alaska,2,3,0
3/17/2020,Alaska,2,6,0
3/18/2020,Alaska,2,9,0
3/19/2020,Alaska,2,12,0
3/20/2020,Alaska,2,14,0
